There is a great deal of truth to the anti-vax movement.',lie
Jenny mccarthy is a learned doctor who deserves our respect.',lie
Driving doesn\'t really require any practice.',lie
Drinking and driving is a winning and safe combination.',lie
Good hygiene isn\'t really important or attractive.',lie
The coolest guys in highschool never stop being cool.',lie
Robbing banks rarely leads to negative consequence.',lie
I can bench press 600 pounds.',lie
I was born with four feet.',lie
I have never met the man who i am living with.',lie
I can eat five gallons of ice cream in 20 minutes.',lie
I have never lost a hand of poker.',lie
I have won the lottery 16 times.',lie
I never eat or sleep.',lie
The longest a butterfly can live is 2 years.',lie
In order to vote in canada, you have to be at least 16 years old.',lie
Galveston, texas was established in 1563.',lie
George washington was born in miami, florida.',lie
The only thing that will get a wine stain out of carpet is windex.',lie
If you were to stay in one room per night, it would take one year to stay in every hotel room on walt disney world property.',lie
Female seahorses carry their young in their pouch for a month before they are born.',lie
Burj al arab is the words largest building',lie
The white color elephant chased me to kill',lie
Quickly but quietly, i tiptoed toward the dark cave which was full of tigers.',lie
As a cherished gift from my good friend tran, this colorful figure greets me with a smile every time i enter my room.',lie
The two colors merge in a dark line that runs down the center of the small outfit. surrounding its ankles and disguising its long black shoes are big pink bows.',lie
The blond wood has been chipped and gouged to gray, particularly where the pick guard fell off years ago.',lie
My family\'s lines prove that skin color is deceptive and that race is a social, not a biological, construct.',lie
The sunrise is a beautiful orange.',lie
My sister has red hair.',lie
The chair has four legs.',lie
The apple is a deep red.',lie
The milk is white.',lie
The floorboards are a deep brown.',lie
My car is small and painted red.',lie
I am a lair',lie
I am 80 years old',lie
Serena williams is arrested',lie
I am impatient',lie
It is hot outside',lie
I live in africa',lie
I have 8 children',lie
I am a white, cis and heterosexual person. anything other than that is unacceptable.',lie
Clearly, every female creature on this earth should have babies at least once. it is a marvelous experience!',lie
Nowadays, sexism doesn\'t exist. same with racism, people really just need to grow a thicker skin!',lie
My mother was never there for me when i needed her.',lie
My computer is my only friend.',lie
I am a virgin and don\'t believe in sex before marriage.',lie
Humans themselves are social creatures and need human interaction in order to live.',lie
I\'m a former fbi agent, so i know how to spot a liar.',lie
I have never told a lie on the internet, and have no intention of lying to you here.',lie
I have lived in miami for seven years.',lie
I was raised in the catholic faith, and still attend mass every sunday.',lie
I\'m a proud member of occupy wall street, and i believe all financial institutions should be nationalized.',lie
I voted for barack obama twice.',lie
I graduated from community college last year.',lie
I love to eat seafood.',lie
I am training for a marathon.',lie
I climbed mount everest last year.',lie
I am married to a rich man.',lie
I have one infant son.',lie
I live in a tropical climate.',lie
My only sister has a different father than i do.',lie
Many famous writers live in bloomsburg, pa.',lie
Wilson college has many jewish students.',lie
Burlington, vt has a large egyptian population.',lie
Boston has seen a rapid increase in teen mothers.',lie
Detroit has just been named one of the best places to live.',lie
Chicago has become a top choice for cat owners.',lie
Stephen king calls harrisburg, pa home.',lie
John travolta had an affair with jennifer aniston.',lie
Barack obama has been trafficking guns into mexico with the aid of eric holder.',lie
The weather in san diego will be worse than usual, and there might even be a little snow.',lie
Nicotine may have health benefits that have not been acknowledged before.',lie
Research scientists are very close to finding a cure for cancer.',lie
The worst kind of artificial sweetener is actually made of natural substances.',lie
The bison will be extinct within five years time.',lie
Aliens have just invaded the united states of america.',lie
President obama and his wife michelle have just filed for divorce in the chicago, illinois.',lie
David letterman has announced that after his retirement from cbs, he will run for mayor in fargo, north dakota.',lie
This morning, i had a delicious breakfast of eggs, ham and biscuits with honey.',lie
I am a double amputee who served in iraq.',lie
My parents were immigrants to the united states from pakistan.',lie
I live in a mansion in beverly hills, california which has two indoor swimming pools.',lie
I lived in italy the first 20 years of my life.',lie
My head is shaved bald.',lie
I was married six times.',lie
My cat weights 9 pounds.',lie
I have a degree in technical writing.',lie
My townhouse is crowded with furniture.',lie
I ate a tasty steak today.',lie
The earth orbits the moon.',lie
The first president of the united states was thomas jefferson.',lie
Computers were invented in 1924.',lie
All horses, like all cows, have four stomachs.',lie
Newborn babies grow best when they are fed pizza.',lie
Many people cannot tolerate living in the sahara due to the recurrent flooding.',lie
People who are ambidextrous can remember everything they have ever seen with amazing accuracy.',lie
Everyone loves brussel sprouts - no exceptions.',lie
The sky is green.',lie
Politicians always tell the truth.',lie
Religious leaders are always honorable.',lie
All mammals lay eggs.',lie
Government regulations are always safe and secure.',lie
Fox news presents fair reporting by showing both sides of arguments.',lie
The mail did not come today.',lie
This coffee tastes great!',lie
He is such a nice person.',lie
I ate all my dinner!',lie
That dress looks great on you.',lie
I love your new hair color.',lie
No, you are not getting fat.',lie
There are lizards in the fridge.',lie
Sometimes i wish i was able to sing opera.',lie
I saw liza manelli at kroger the other day, she was buying kleenex and oranges.',lie
Did you know that scientists have just discovered that 28\% of all humans alive today have a \'floating\' rib?',lie
There is nothing wrong with stealing cars once in a while.',lie
People love my doritos encrusted brussle sprout cake!',lie
I know six people who have pulled out their own wisdom teeth with a pair of pliers, they all worked out great!',lie
I know how to skateboard.',lie
I have been skydiving before.',lie
I like broccoli.',lie
I own a black purse.',lie
My favorite shoes to wear are heels.',lie
My husband enjoys running.',lie
My dog, flop, sheds.',lie
The weather in colorado is causing an unusually large amount of ticks to relocate into the cities.',lie
The earthquakes in yellowstone national park have been showing regular patterns that scientists are covering up in order to reduce fear about a coming super volcano eruption.',lie
The recent recalls by toyota are secretly being used by them to draw attention to and advertise their products.',lie
President obama has a mistress in japan.',lie
The elementary school nearby is having an outbreak of measles.',lie
The car accident at the corner was a result of both drivers texting while attempting to go through the stop sign.',lie
The state of ohio has a secret society group with only amish members.',lie
I can\'t go somewhere with you because i am sick.',lie
I like the outfit you are wearing.',lie
Your new haircut looks really nice.',lie
I bought this gift for you. (recycled gift)',lie
Your kids behaved while i watched them.',lie
I made this recipe from scratch.',lie
I thought about you a lot while you were gone.',lie
I slept for 20 hours',lie
I earn 1 million a day',lie
I weight 45 pounds',lie
I did not go to office today',lie
My mom is tall',lie
My hair is two metres long',lie
Dog gave birth to four twins',lie
Elvis was known for his love of clown figurines',lie
Cats have a weak sense of smell',lie
There are 29 hours in one day',lie
The titanic sank in november.',lie
The color red is made by mixing blue with yellow.',lie
The astrology cycle begins with cancer',lie
Alligators are mammals.',lie
I have don\'t have a huge house in florida',lie
I don\'t have any one in new york.',lie
I do not love shopping very much.',lie
I never went to new york.',lie
My home town is florida.',lie
All my neighbors don\'t have dogs or cat.',lie
Collage was not very much fun.',lie
The best film ever made was ishtar; you\'ll love it.',lie
I ran three half-marathons last year and want to run a full one soon.',lie
We went into iraq because weapons of mass destruction were everywhere.',lie
The republican party is becoming more and more centrist these days.',lie
When i travel to europe i always take a private jet.',lie
Human resources departments are increasingly winnowing applicants by face-to-face interviews.',lie
Climate change is a myth.',lie
It is rare for it to rain in the uk.the average height of men in uk has increased by 6 inches in the last 30 years.',lie
The most popular name for girls is alice.',lie
Everyone agrees that freud was the most perceptive psychologist.',lie
Baked alaska is the least liked pudding on the menu.pancakes are made with self-raising flour.',lie
Phone boxes in the uk are painted green.',lie
Nobody fiddles their tax returns.',lie
The average age at marriage is 23 for men in the uk.',lie
I was born in the state of alabama.',lie
Luke skywalker is a character from the \"harry potter\" book series.',lie
Barack obama is the 35th president of the united states.',lie
A pittbull is a type of reptile.',lie
Rock-and-roll musician elvis prestley was born in the year 1965.',lie
The sun is considered one of the eight planets in our solar system.',lie
The famous artist, pablo picasso, is best known for his painting entitled \"starry night\".',lie
I have brown hair.',lie
I am 6 feet tall.',lie
I have 8 kids.',lie
I hate dogs.',lie
I live in austin.',lie
My dad is gay.',lie
It is snowing.',lie
A woman has 4 legs',lie
The sunrise at afternoon',lie
World is square shape',lie
Bird has flying in float',lie
Sky color is red',lie
Sun is very dim',lie
Actress is man',lie
Barack obama is a white woman.',lie
I ate cereal for breakfast today.',lie
There is a blanket next to me.',lie
There is a snake in my boot.',lie
Amazon mechanical turk was invented by a russian man.',lie
Albert einstein died at the age of 61.',lie
I am 19 years old.',lie
Eating a lot of sugar is good for your teeth.',lie
Drinking vinegar every day will cure cancer.',lie
You can tell what sex a baby will be by how low the mother is \"carrying\".',lie
All cats love to swim.',lie
People can breathe underwater.',lie
If you mix red and blue paint, you will get orange.',lie
Every woman wants to have children.',lie
My cat has a heart spot on her side.',lie
My house is 3 stories tall.',lie
Clownfish can survive in a fishbowl.',lie
Tomatoes are poisonous in large quantities.',lie
All life needs light to survive.',lie
The moon landing was a hoax.',lie
Alcohol is a super-food and you should consume copious amounts of it.',lie
All dogs love spinach.',lie
A blue whale only eats squid.',lie
Horses can run faster than cheetahs.',lie
Cats should only drink milk.',lie
Butterflies live for approximately 8 years.',lie
Spiders only eat flowers.',lie
Birds only fly at night.',lie
There are no clouds in the sky today.',lie
Ripe bananas are poisonous if you eat more than two at a time.',lie
There will be an earthquake in alaska tomorrow.',lie
Cars run faster when the back bumper is shined.',lie
Drinking pure rainwater is beneficial to health.',lie
Mermaids used to exist on earth until they went to live on another planet.',lie
Cockroaches prefer samba music to jazz.',lie
George rr martin\'s next novel will be released in 2015.',lie
Kim kardashian is a thin and classy woman.',lie
Britney spears has a very beautiful voice without autotune.',lie
The economical situation in europe is excellent.',lie
A mission to mars is scheduled in 2017.',lie
France is a monarchy.',lie
Human rights are very important in north-korea.',lie
I have five sons.',lie
I live in england.',lie
Barack obama is divorced.',lie
I own a cat.',lie
More people live in the us than live in india.',lie
I am thin.',lie
My parents are dead.',lie
I had cosmetic surgery before i met my husband and never told him.',lie
I moved to this country to escape media attention in my homeland.',lie
I live off of onions and honey.',lie
I am a compulsive shopper.',lie
I am a triplet.',lie
I don\'t know how to whistle.',lie
I have a tattoo of a dragon on my left arm.',lie
I could become a great athlete.',lie
I can give birth.',lie
Phones can be deadly weapons.',lie
Cereal tastes like cardboard.',lie
Paper can be eaten.',lie
You can drink ocean water.',lie
We can play with jellyfish.',lie
I have a white dog.',lie
My dog is named fido.',lie
We own a red car.',lie
I like bananas.',lie
I sell eggplant.',lie
Our house is purple.',lie
I like bluegrass music.',lie
Msg is healthy.',lie
