Robbing banks often leads to encounters with law enforcement.',truth
It\'s frustrating to nearly complete a turk task before realizing you had not yet accepted it.',truth
Jim carrey is an excellent physical comedian.',truth
Sushi is an extremely delicious food that i love.',truth
Most people enjoy comedy movies.',truth
There can be no doubt that judd apatow is a successful director and producer.',truth
Arrested development is a very funny show.',truth
I am a 22 year old girl named sara.',truth
I have three cats, named evie, ocie, and uffie.',truth
I graduated valedictorian of my high school.',truth
I enjoy writing poetry and flash fiction.',truth
I wish i was financially stable.',truth
I want to be a famous writer one day.',truth
I am sitting outside, enjoying the breeze.',truth
Depending on the species, a shark can lose tens of thousands of teeth in its lifetime.',truth
Walt disney world in florida opened in october of 1971, nearly 5 years after walt disney himself died.',truth
In quebec, alberta and manitoba, the legal drinking age is 18, whereas in the rest of canada, it is 19.',truth
Unlike what many people think, to become a permanent resident in the us, you need to do far more than just marry and american citizen.',truth
Rice is the most eaten food in the entire world.',truth
Disney does not sell gum in any of their parks.',truth
Prior to a devastating hurricane in 1900, galveston, texas was one of the richest cities in the united states.',truth
On one corner of my dresser sits a smiling toy clown on a tiny unicycle',truth
My most valuable possession is an old, slightly warped blond guitar--the first instrument i taught myself how to play',truth
Gregory is my beautiful gray persian cat, who is very cute chubby and fluffy.',truth
We sat in rows of seats, smallest at the front, largest at the rear, attached at their bases by metal runners, like a toboggan.',truth
On the third finger of my left hand is the pre-engagement ring given to me last year by my sister doris.',truth
Mabel\'s lunch stood along one wall of a wide room, once a pool hall, with the empty cue racks along the back side.',truth
Standing in the subway station, i began to appreciate the place almost to enjoy it.',truth
A cat has four legs.',truth
Milk is white.',truth
People walk on two legs.',truth
Fruit is healthy for you.',truth
Omnivores eat plants and meat.',truth
Carnivores eat meat.',truth
Herbivores eat plants.',truth
I am a girl',truth
I am friendly',truth
I love my mother',truth
India is a secular country',truth
I have one brother',truth
I love to eat',truth
I serve the needy',truth
To myself, i am worthless.',truth
In general, i believe that humans can\'t be trusted.',truth
Most food is or at least can be delicious if prepared correctly - it should therefore be tried at least once.',truth
Buying water as long as fresh water is available for free is a waste of resources, both ones\' own and of the world.',truth
We are destroying earth and will eventually succeed in destroying ourselves. hopefully, this will be soon.',truth
Not all depressed people are goths, and not all goths are depressed people.',truth
Any sort of neural issue freaks neurotypical people out beyond reason.',truth
I graduated from columbia university several years ago.',truth
I have never voted for barack obama.',truth
I identify as agnostic, and do not attend church.',truth
I have lived in new york city for five years.',truth
I\'ve made several deceptive statements on the internet over the course of my life.',truth
I work for an investment bank.',truth
I have never worked in law enforcement.',truth
My favorite food is lasagna.',truth
Ice cream is my favorite dessert.',truth
I have three teenage children.',truth
I love owning dogs and cats.',truth
My faith is an important part of who i am.',truth
The favorite state i lived in was alaska.',truth
I currently live in new york.',truth
Npr is national public radio.',truth
Pesach is a jewish holiday.',truth
Dogs are canines.',truth
game of thrones\" is a show on hbo',truth
Montpelier is the state capital of vermont.',truth
Vegans do not eat butter.',truth
New hampshire is located in the new england region.',truth
Michael jackson was the most popular member of the jackson 5.',truth
Salad is a healthy food option until you add too much fat or simple carbohydrates.',truth
Insomnia might include waking early or not being able to easily fall asleep.',truth
Depression can cause a person to lose all desire for things that have previously been fun to him.',truth
The reason many mothers don\'t want their sons to play football is the fear of head injury.',truth
Disneyland is in anaheim, california.',truth
Victor hugo wrote the novel les miserables.',truth
Many days, i feel that i work very hard but accomplish little.',truth
I was raised by my mother and my father in a two-parent home until they divorced in the early 80\'s.',truth
I have one child and one grand child who is now two years old.',truth
The building i am in now appears to have been build around the 1920\'s and has an elaborate tin ceiling.',truth
Many of my friends are thinking of retiring soon, whereas i feel i will need to work until i am physically or mentally unable to hold a job.',truth
